nombre,artista,cover,url,genero,dj,año,fecha_añadida
Mix In the Dark,DJ Tavo ,https://thumbnailer.mixcloud.com/unsafe/390x390/extaudio/b/6/7/8/cdc3-709c-48a9-8afb-2d687d62e864.jpg,https://stream6.mixcloud.com/secure/c/m4a/64/4/d/2/2/20c4-2640-4afa-bbd8-207ec0551d9c.m4a?sig=jLjBtV4Nmovxfl7mbCtQDQ,Pop,Dj Tavo,2014,
Mix Rock En Espa�ol, DJ Jerax,https://yt3.googleusercontent.com/od_LAuQKWLvNamaO3bWAbS9IfWk6j2C3tOB1en71d7NPnArZONhRl2INp2MA1bQigAvB23OPIYk=w544-c-h544-k-c0x00ffffff-no-l90-rj,https://firebasestorage.googleapis.com/v0/b/bass2-aea76.appspot.com/o/MIX%2FROCK%2FMix_Rock_En_Espa%C3%B1ol_Dj_JeraxMusic_VERSION_VIDEOMIX2021.mp3?alt=media&token=3f9dac90-069b-4282-a9f3-fb592eaa91c6,Rock, DJ Jerax,2021,01/01/2024
Mix Techno 2021, DJ Jerax,https://yt3.googleusercontent.com/od_LAuQKWLvNamaO3bWAbS9IfWk6j2C3tOB1en71d7NPnArZONhRl2INp2MA1bQigAvB23OPIYk=w544-c-h544-k-c0x00ffffff-no-l90-rj,https://firebasestorage.googleapis.com/v0/b/bass2-aea76.appspot.com/o/MIX%2FTechno%2FMIX%20TECHNO%20(2021)%20-%20%5BDJ%20Jerax%20Music%5D.mp3?alt=media&token=bcf7b0ce-06c4-4c04-b681-350602780fb4,Techno, DJ Jerax,2021,01/01/2024
Mix 20k (Rock Pop 80s 90s),DJ GIAN,https://img.hearthis.at/1/6/4/_/uploads/202151/image_track/6508933/w600_h600_c3a3a3a_q70_----1642520140835.jpg,https://stream77.hearthis.at/listen.mp3?id=6508933&track=w264t243h51374d4o2m534q2r254a4o294k5q294d4s2c4b47413h5i50364a4s224f4j474&key=202151&t=-62169987208,Rock,DJ GIAN,2023,02/01/2024
The Best Party Mix 2024,DJ Tobi,https://i.scdn.co/image/ab67706f000000032aecfef2647621adf8a3d4ae,https://firebasestorage.googleapis.com/v0/b/bass2-aea76.appspot.com/o/MIX%2FEDM%2FThe%20Best%20Party%20Mix%202024%20_%20Remixes%20%26%20Mashups%20Of%20Popular%20Songs.mp3?alt=media&token=59ab74d7-c587-4dcb-b48a-64d70443de46,EDM,DJ Tobi,2024,29/06/2024
MIX ROCK EN ESPAÑOL,DJ ZMUKY,https://i1.sndcdn.com/artworks-000601595275-ohbdv7-t500x500.jpg,https://firebasestorage.googleapis.com/v0/b/bassdimensionclub.appspot.com/o/MIX%2FROCK%2FMIX_ROCK_EN_ESPA%C3%91OL_-_DJ_ZMUKY_2019.mp3?alt=media&token=a63345ce-8f8b-433a-aeab-17b93f36b047,Rock,DJ ZMUKY,2019,28/06/2024
Sesion PRIMAVERA 2024 ,DJ CMOCHONSUNY,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgaWKPD5hcGmCa7gl2-4vo9cRwxvJOx8bjLIwezdgRweV6uMusPptChcpTduMvCtewRV6Dt6OQXFPTKf5WI_hONtA-119n8w6P3lHVN22MCVTOh8jsgtSRz3RxTfAlK8CGELlEEq4NZvMFNViKOBK5t6h_AU0tmxmR1M3fwOv0fX_iXh9MEzL9GYPnC0YQ/s3000/SPRING2024CM-ART.jpg,https://firebasestorage.googleapis.com/v0/b/bass2-aea76.appspot.com/o/MIX%2FTesh%20House%2FSesi%C3%B3n%20PRIMAVERA%202024%20(Dance%2C%20House%2C%20Latino)%20Mixed%20by%20CMOCHONSUNY.mp3?alt=media&token=23e208a1-d4cd-435f-a6c1-7d8df549a6be,Latino,DJ CMOCHONSUNY,2024,29/06/2024
RADIO PLANETA MIX 83,DJ GIAN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQBI5Zrw0Jht_XdytJW65f5D2jSHESimZANw&s,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/5f5f4b1d-5fa7-4044-891d-713fb1f3de53/DJ-GIAN-RADIO-PLANETA-MIX-83.mp3,Pop,DJ GIAN,2020,01/01/2024
RADIO PLANETA MIX 82,DJ GIAN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQBI5Zrw0Jht_XdytJW65f5D2jSHESimZANw&s,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/29e48de6-59b9-4c52-b56a-3af243fb5685/DJ-GIAN-RADIO-PLANETA-MIX-82.mp3,Pop,DJ GIAN,2020,01/01/2024
RADIO PLANETA MIX 80,DJ GIAN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQBI5Zrw0Jht_XdytJW65f5D2jSHESimZANw&s,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/b1ad0580-787e-4cb7-b365-2e05789c2913/DJ-GIAN-RADIO-PLANETA-MIX-80.mp3,Pop,DJ GIAN,2020,01/01/2024
RADIO PLANETA MIX 78,DJ GIAN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQBI5Zrw0Jht_XdytJW65f5D2jSHESimZANw&s,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/684fd5ea-73d2-4ccb-8000-0815de282d23/DJ-GIAN-RADIO-PLANETA-MIX-78.mp3,EDM,DJ GIAN,2020,01/01/2024
Latin Pop Party Mix,Dj kosta,https://thumbnailer.mixcloud.com/unsafe/600x600/extaudio/d/6/c/0/894a-ffc6-4889-9d9b-c78508b36cd1,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/3548e278-0901-4e2f-9a04-7a9f3f0593a2/latin-pop-party-mix-dj-kosta.mp3,Latino,Dj kosta,2015,29/06/2024
I love Vive Disco Vol 2,Dj kosta,https://i.discogs.com/wS8T58SBQ76xW4NMCiBZ0VJWuerXhfh9lDmGSARsPWc/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ3OTEw/Ny0xMTQ3NTUxNDE1/LmpwZWc.jpeg,https://firebasestorage.googleapis.com/v0/b/bass2-aea76.appspot.com/o/MIX%2FDISCO%2Fi%20love%20vive%20disco%20vol%202-%20dj%20kosta.mp3?alt=media&token=2c7506f4-4da7-4f3f-aa96-19a521f74307,Disco,Dj kosta,2010,29/06/2024
Tributo a Dario Caminita Mix 02,Djecler,https://altoremix.com.ar/site/images/2022-09/Dario_Caminita_-_Classic_Revibes_Vol_02_-_descarga_de_remix_gratis.jpeg,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/2811a2bc-8734-4dc4-9162-d70253cd10de/tributo-a-dario-caminita-mix-02-Djecler.mp3,Retro,Djecler,2010,29/06/2024
Mix Rock De Los 80 En Ingles DJ Zmuky,DJ ZMUKY,https://i.scdn.co/image/ab67616d0000b273a92d804a171bfb47369ed625,https://firebasestorage.googleapis.com/v0/b/bassdimensionclub.appspot.com/o/MIX%2FROCK%2FMix%20Rock%20De%20Los%2080%20En%20Ingles%20%20%20DJ%20Zmuky.mp3?alt=media&token=cbb52343-f986-45e8-9cc0-05d315dc2fab,Rock,DJ ZMUKY,2015,01/01/2024
RADIO OASIS MIX 06 Pop Rock ESPAÑOL Ingles,DJ GIAN   ,https://i1.sndcdn.com/artworks-yzwQiutWdkFQWwjr-FzB0zw-t500x500.jpg,https://firebasestorage.googleapis.com/v0/b/bassdimensionclub.appspot.com/o/MIX%2FROCK%2FDJ%20GIAN%20%20%20RADIO%20OASIS%20MIX%2006%20Pop%20Rock%20Espaol%20%20Ingles.mp3?alt=media&token=cb3a85ce-1f10-4713-9ed3-db4882d708cc,Rock,DJ GIAN,2020,01/01/2024
RADIO PLANETA MIX 146,DJ GIAN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQBI5Zrw0Jht_XdytJW65f5D2jSHESimZANw&s,https://firebasestorage.googleapis.com/v0/b/bassdimensionclub.appspot.com/o/MIX%2FPOP%2FDJ%20GIAN%20-%20RADIO%20PLANETA%20MIX%20146.mp3?alt=media&token=a9784213-f498-4536-8d2e-d31d31e38bba,Pop,DJ GIAN,2020,01/01/2024
Latin tech house (Mashup),Dj Kracsek,https://f4.bcbits.com/img/a1746104051_65,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/de524cfd-155f-49cb-9492-c56366afd808/Latin-tech-house-Mash-up-Dj-Kracsek.mp3,EDM,Dj Kracsek,2021,01/01/2024
MIX GATUBELA,DJ ZMUKY,https://i1.sndcdn.com/artworks-StNnQjCTqg6TnxTJ-SxPwmQ-t500x500.jpg,https://firebasestorage.googleapis.com/v0/b/bassdimensionclub.appspot.com/o/MIX%2FFLOW%2FMIX%20GATUBELA%20-%20DJ%20ZMUKY.mp3?alt=media&token=18ed978b-48eb-44a5-b4fc-d30627530f9b,Flow,DJ ZMUKY,2021,01/01/2024
Fiesta Retro Ingles 2 Eye Of tige, DJ Jerax,https://yt3.googleusercontent.com/od_LAuQKWLvNamaO3bWAbS9IfWk6j2C3tOB1en71d7NPnArZONhRl2INp2MA1bQigAvB23OPIYk=w544-c-h544-k-c0x00ffffff-no-l90-rj,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/effb78fb-46b6-4a3c-8621-24e24b8a8bb9/Fiesta_Retro_Ingles_2_Eye_Of_tiger_DJ_Jerax_Music_2k24_CC.mp3,Rock, DJ Jerax,2022,01/01/2024
Mix Viva el Rock 6 , DJ Jerax,https://yt3.googleusercontent.com/od_LAuQKWLvNamaO3bWAbS9IfWk6j2C3tOB1en71d7NPnArZONhRl2INp2MA1bQigAvB23OPIYk=w544-c-h544-k-c0x00ffffff-no-l90-rj,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/e5ba32a0-aa9c-4767-b8d9-50897b40fc36/Mix-Viva-el-Rock-6-Jerax-DJ-.mp3,Rock, DJ Jerax,2023,02/01/2024
Mix Viva el Rock 7, DJ Jerax,https://yt3.googleusercontent.com/od_LAuQKWLvNamaO3bWAbS9IfWk6j2C3tOB1en71d7NPnArZONhRl2INp2MA1bQigAvB23OPIYk=w544-c-h544-k-c0x00ffffff-no-l90-rj,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/5fa6a3fa-4cd4-43fd-8b2f-ab84c79dea77/Mix-Viva-el-Rock-7-Jerax-DJ-.mp3,Rock, DJ Jerax,2024,03/01/2024
Mix Esto es Musica  1 , DJ Jerax,https://yt3.googleusercontent.com/od_LAuQKWLvNamaO3bWAbS9IfWk6j2C3tOB1en71d7NPnArZONhRl2INp2MA1bQigAvB23OPIYk=w544-c-h544-k-c0x00ffffff-no-l90-rj,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/85ba4902-1a02-4378-b182-94038f86a41c/Mix-Esto-es-musica-1-Dj-JeraxMusic-.mp3,Rock, DJ Jerax,2022,01/01/2024
Mix Esto es Musica 3, DJ Jerax,https://yt3.googleusercontent.com/od_LAuQKWLvNamaO3bWAbS9IfWk6j2C3tOB1en71d7NPnArZONhRl2INp2MA1bQigAvB23OPIYk=w544-c-h544-k-c0x00ffffff-no-l90-rj,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/c976a692-0be9-499f-8aba-13c6f8a07153/Mix-Esto-es-musica-3-Dj-JeraxMusic-.mp3,Rock, DJ Jerax,2023,01/01/2024
Mix Esto es Musica 4, DJ Jerax,https://yt3.googleusercontent.com/od_LAuQKWLvNamaO3bWAbS9IfWk6j2C3tOB1en71d7NPnArZONhRl2INp2MA1bQigAvB23OPIYk=w544-c-h544-k-c0x00ffffff-no-l90-rj,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/b789ec33-857c-4d70-bb18-b09e1ccc2fe9/Mix-Esto-es-musica-4-Dj-JeraxMusic-.mp3,Rock, DJ Jerax,2023,02/01/2024
Disco Body Vol 1 Mix Red Red Wine UB40 , DJ Jerax,https://yt3.googleusercontent.com/od_LAuQKWLvNamaO3bWAbS9IfWk6j2C3tOB1en71d7NPnArZONhRl2INp2MA1bQigAvB23OPIYk=w544-c-h544-k-c0x00ffffff-no-l90-rj,https://firebasestorage.googleapis.com/v0/b/bassdimensionclub.appspot.com/o/MIX%2FROCK%2FDisco_Body_Vol_1_Mix_Red_Red_Wine_UB40_Jerax_DJ_CU%C3%91A.mp3?alt=media&token=76cf0330-f035-43f5-a109-d094a4b15836,Rock, DJ Jerax,2023,03/01/2024
Fiesta Radio Body Music Vol.3, DJ Jerax,https://yt3.googleusercontent.com/od_LAuQKWLvNamaO3bWAbS9IfWk6j2C3tOB1en71d7NPnArZONhRl2INp2MA1bQigAvB23OPIYk=w544-c-h544-k-c0x00ffffff-no-l90-rj,https://firebasestorage.googleapis.com/v0/b/bassdimensionclub.appspot.com/o/MIX%2FROCK%2FFiesta%20Radio%20Body%20Music%20-%20(Vol.3%20)%20-%20%5BJerax%20DJ%5D%20(Cu%C3%B1a).mp3?alt=media&token=52c6a9c1-ce4d-4f5b-94ff-d55e289663b4,Rock, DJ Jerax,2024,04/01/2024
Disco Body Vol 4 LAURA BRANIGAN Self Control, DJ Jerax,https://yt3.googleusercontent.com/od_LAuQKWLvNamaO3bWAbS9IfWk6j2C3tOB1en71d7NPnArZONhRl2INp2MA1bQigAvB23OPIYk=w544-c-h544-k-c0x00ffffff-no-l90-rj,https://firebasestorage.googleapis.com/v0/b/bassdimensionclub.appspot.com/o/MIX%2FROCK%2FDisco_Body_Vol_4_LAURA_BRANIGAN_Self_Control_Jerax_DJ.mp3?alt=media&token=ca60fd71-32f3-405f-9783-c19613fe8076,Rock, DJ Jerax,2024,04/01/2024
RADIO PLANETA MIX 145,DJ GIAN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQBI5Zrw0Jht_XdytJW65f5D2jSHESimZANw&s,https://firebasestorage.googleapis.com/v0/b/bassdimensionclub.appspot.com/o/MIX%2FPOP%2FDJ%20GIAN%20-%20RADIO%20PLANETA%20MIX%20145.mp3?alt=media&token=eeafbe46-661a-4f6c-a554-95ec0350ebc1,Pop,DJ GIAN,2020,01/01/2024
RADIO PLANETA MIX 141,DJ GIAN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQBI5Zrw0Jht_XdytJW65f5D2jSHESimZANw&s,https://firebasestorage.googleapis.com/v0/b/bassdimensionclub.appspot.com/o/MIX%2FPOP%2FDJ%20GIAN%20-%20RADIO%20PLANETA%20MIX%20141.mp3?alt=media&token=a7e6e237-57e2-4c13-8602-eae79c9b852a,Pop,DJ GIAN,2020,01/01/2024
RADIO PLANETA MIX 138,DJ GIAN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQBI5Zrw0Jht_XdytJW65f5D2jSHESimZANw&s,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/612a194f-354f-4c03-b4bb-5b15a321fa6b/DJ-GIAN-RADIO-PLANETA-MIX-138.mp3,Pop,DJ GIAN,2020,01/01/2024
RADIO PLANETA MIX 136,DJ GIAN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQBI5Zrw0Jht_XdytJW65f5D2jSHESimZANw&s,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/dc1e7a6b-d8dd-4057-88a7-e5f093857d53/DJ-GIAN-RADIO-PLANETA-MIX-136.mp3,Pop,DJ GIAN,2020,01/01/2024
RADIO PLANETA MIX 135,DJ GIAN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQBI5Zrw0Jht_XdytJW65f5D2jSHESimZANw&s,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/c393cc9f-d9d5-48a1-84a1-fae1cbf1a550/DJ-GIAN-RADIO-PLANETA-MIX-135.mp3,Pop,DJ GIAN,2020,01/01/2024
RADIO PLANETA MIX 133,DJ GIAN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQBI5Zrw0Jht_XdytJW65f5D2jSHESimZANw&s,https://files.elfsightcdn.com/eafe4a4d-3436-495d-b748-5bdce62d911d/56438d02-c5b4-47d2-ab9f-4fe9b7d7df26/DJ-GIAN-RADIO-PLANETA-MIX-133.mp3,Pop,DJ GIAN,2020,01/01/2024
Radio Planeta 2024 Mix 03 | Animals,DJ GIAN,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQBI5Zrw0Jht_XdytJW65f5D2jSHESimZANw&s,https://firebasestorage.googleapis.com/v0/b/bassdimensionclub.appspot.com/o/MIX%2FPOP%2FDJ%20GIAN%20-%20Radio%20Planeta%202024%20Mix%2003%20%EF%BD%9C%20Animals.mp3?alt=media&token=0490ebbf-4b08-4249-b05e-06e7198fe43f,Pop,DJ GIAN,2020,01/01/2024
